DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1946-12-27,Alfredo DE ANGELIS,Chorra,Julio Martel,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo,ANGELIS,
1946-12-27,Alfredo DE ANGELIS,Mano a mano,Carlos Dante,TANGO,Carlos Gardel y José Razzano,Celedonio Flores,ANGELIS,
1947-03-20,Alfredo DE ANGELIS,Aleli,Carlos Dante,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,
1947-03-20,Alfredo DE ANGELIS,Yo también reí,Julio Martel,TANGO,Carlos Cubría y Héctor Gentile,José Rótulo,ANGELIS,
1947-04-23,Alfredo DE ANGELIS,A su memoria,Carlos Dante,VALS,Antonio Sureda,Homero Manzi,ANGELIS,
1947-04-23,Alfredo DE ANGELIS,Entrá sin miedo hermana,Julio Martel,TANGO,Raúl de los Hoyos,Mario Flores,ANGELIS,
1947-05-08,Alfredo DE ANGELIS,Con la otra,Carlos Dante,TANGO,Lito Bayardo,Lito Bayardo,ANGELIS,
1947-05-08,Alfredo DE ANGELIS,Sigan tomando muchachos,Julio Martel,TANGO,Antonio Bonavena,Rodolfo Scafidi,ANGELIS,
1947-06-06,Alfredo DE ANGELIS,La novia ausente,Julio Martel,TANGO,Guillermo Barbieri,Enrique Cadícamo,ANGELIS,
1947-06-06,Alfredo DE ANGELIS,Lunes (Lunes trece),Carlos Dante,TANGO,José Luis Padula,Francisco García Jiménez,ANGELIS,
1947-07-03,Alfredo DE ANGELIS,Cien guitarras,Carlos Dante y Julio Martel,MILONGA,Arturo Gallucci,Raúl Hormaza,ANGELIS,
1947-07-03,Alfredo DE ANGELIS,Flores del alma,Carlos Dante y Julio Martel,VALS,Juan Larenza,Alfredo Lucero Palacios y Lito Bayardo,ANGELIS,
1947-08-20,Alfredo DE ANGELIS,Pinche,,TANGO,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,ANGELIS,
1947-08-20,Alfredo DE ANGELIS,Sentencia,Carlos Dante,TANGO,Pedro Maffia,Celedonio Flores,ANGELIS,
1947-10-21,Alfredo DE ANGELIS,A Magaldi,Carlos Dante y Julio Martel,VALS,Carlos Dante y Pedro Noda,Juan Tiggi,ANGELIS,
1947-10-21,Alfredo DE ANGELIS,Esta vuelta pago yo,Carlos Dante,TANGO,Miguel Bonano,José De Grassi,ANGELIS,
1947-12-23,Alfredo DE ANGELIS,Fruto dulce,Carlos Dante y Julio Martel,TANGO,Horacio Susena,Horacio Susena,ANGELIS,
1947-12-23,Alfredo DE ANGELIS,Por quererte te perdi,Julio Martel,TANGO,Antonio Cascini,Marvil,ANGELIS,
1948-04-16,Alfredo DE ANGELIS,Pa' qué te voy a contar,Julio Martel,MILONGA,Domingo Sciaraffía,Domingo Sciaraffía,ANGELIS,
1948-04-16,Alfredo DE ANGELIS,Pastora,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,
1948-04-20,Alfredo DE ANGELIS,Bajo Belgrano,Julio Martel,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,
1948-06-11,Alfredo DE ANGELIS,Cristal y luna,Carlos Dante,TANGO,Pedro Blasco,Guillermo Vilar,ANGELIS,
1948-06-11,Alfredo DE ANGELIS,Seleccion de tangos (de Discépolo),Carlos Dante y Julio Martel,TANGO,?,?,ANGELIS,
1948-07-23,Alfredo DE ANGELIS,No te perdono mas,Julio Martel,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,ANGELIS,
1948-07-23,Alfredo DE ANGELIS,Para ti madre,Carlos Dante,VALS,José Mocciola,Venancio Clauso,ANGELIS,
1948-09-21,Alfredo DE ANGELIS,El huracán,,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López,ANGELIS,
1948-12-17,Alfredo DE ANGELIS,Cuatro líneas para el cielo,Carlos Dante,TANGO,Arturo Gallucci,Reinaldo Yiso,ANGELIS,
1948-12-17,Alfredo DE ANGELIS,Una carta,Julio Martel,TANGO,Miguel Bucino,Miguel Bucino,ANGELIS,
1949-04-20,Alfredo DE ANGELIS,Mocosita,Carlos Dante,TANGO,Gerardo Matos Rodríguez,Víctor Soliño,ANGELIS,
1949-05-12,Alfredo DE ANGELIS,Mi cariñito,Carlos Dante y Julio Martel,VALS,Alfredo De Angelis,José Rótulo,ANGELIS,
1949-05-15,Alfredo DE ANGELIS,Esta noche me despido,Carlos Dante,TANGO,Carlos Dante,José Rótulo,ANGELIS,
1949-06-02,Alfredo DE ANGELIS,Alla en el bajo,Carlos Dante,TANGO,Agustín Magaldi y Pedro Noda,Ismael Aguilar y Gerónimo Martinelli Massa,ANGELIS,
1949-06-02,Alfredo DE ANGELIS,El ciruja,Julio Martel,TANGO,Ernesto de la Cruz,Alfredo Marino,ANGELIS,
1949-08-16,Alfredo DE ANGELIS,Atenti pebeta,Julio Martel,TANGO,Ciriaco Ortiz,Celedonio Flores,ANGELIS,
1949-08-16,Alfredo DE ANGELIS,Compadrón,Carlos Dante,TANGO,Luis Visca,Enrique Cadícamo,ANGELIS,
1949-09-26,Alfredo DE ANGELIS,Amigazo,Carlos Dante,TANGO,Juan de Dios Filiberto,Francisco Brancatti y Juan Velich,ANGELIS,
1949-09-26,Alfredo DE ANGELIS,Buscando perdón,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Santiago Adamini,ANGELIS,
1949-10-14,Alfredo DE ANGELIS,Misa de once,Julio Martel,TANGO,Juan José Guichandut,Armando Tagini,ANGELIS,
1949-10-14,Alfredo DE ANGELIS,Pequeña,Carlos Dante,VALS,Osmar Maderna,Homero Expósito,ANGELIS,
1949-12-06,Alfredo DE ANGELIS,Carga,Carlos Dante,TANGO,Wenceslao Cinosi y Wellington Cinosi,Carlos Bahr,ANGELIS,
