"id","slug","title","description","channel_title","channel_id","video_count","imported","videos_id","user_id","created_at","updated_at"
118,"PL4ADE687D84993308","Tango","","katimayogini","UC4tsX1Jb0thMMEgDyKrq_4Q","19",TRUE,,,"2021-01-25 22:07:13.697723","2021-01-25 22:31:07.05638"
119,"PLU4QgL2Z_9fhlSB79WTb81N8MKKMFTq3E","Tango Events","","Cecilia Walsh","UCbUw1BKX_icSVuMivU8fGOA","14",TRUE,,,"2021-01-25 22:07:13.704985","2021-01-25 22:38:46.519932"
120,"PLzSyyP6dLF0GAVVqK-yjIfibP2Vsws6K-","video tango","","Mathieu Dandonneau","UCGrImkeYxc_cbdCdVBHUmWw","71",TRUE,,,"2021-01-25 22:07:13.713331","2021-01-25 22:31:08.807977"
121,"PL70E729AA47CE31E5","TANGO II","SECOND SET","donsharon","UCvbwvWg__MVs2kzBhUfODCg","15",TRUE,,,"2021-01-25 22:07:13.732159","2021-01-25 22:44:05.369297"
122,"PLDD8F35F87AEB7281","tango show","tango show","Michael Fenlin","UCkOUjx4Vx5sDMleOyRkQ0FA","31",TRUE,,,"2021-01-25 22:07:13.754755","2021-01-25 22:31:16.43657"
123,"PL435F38665A6DB4E9","TANGO`S M`DANCERS","SIGNS OF M`DANCERS  1. M`DANCER understands autenthicity as the following of its unique individuality but not to mode or to public. 2. M`DANCER attempts to watch itself, partner and environment through the heart, but not - the mind. 3.  M`DANCER attempts to dances meditatively, i.e., in the relaxation, to keep totaly watch over, and in acceptance without nondivision. 4. M`DANCER listens music with heart, but not with mind. He forgets now itself as the mind. 5. M`DANCER dances von his unique individuality. 6. M`DANCER is approached now each moment spontaneous to responses to his unique individuality. 7. Body visualises now not only rhythm and phrasing of musics, but also its tunefulness, overtones, dynamics and polyphony. In the motion of bodies it is possible to see impulsiveness, plasticity, softness, liquidity and continuity, uncommon figures and the sequences... 8. In the dance of M`DANCER not to see show, demonstrativeness, making, overcoming, achievement... Hi is totaly absorbed in dance, moves freely and easily, as if playing. 9. In the dance of M`DANCERS are visible attentiveness and love for the partner. 10. Dance does not strain M`DANCER. His respiration remains inaudible and calm. I will glad to discuss with each these signs.","vikrob1","UCbhFbs1duFo8DRn0NL_RkTw","41",TRUE,,,"2021-01-25 22:07:13.779543","2021-01-25 22:44:07.203032"
124,"PLCC1FFE5859232AFF","tango - male","","uleenca","UC3B1Ndj_NE_Lk36xYXMVuVA","19",TRUE,,,"2021-01-25 22:07:13.788932","2021-01-25 22:31:19.973081"
125,"PLCBD60F1445BC5A0E","Tango","","Claus Springborg","UC2JMVTiPhFj3bNyJstG09FA","11",TRUE,,,"2021-01-25 22:07:13.803628","2021-01-25 22:31:22.633742"
126,"PLj0FW9g4MUfNeRHkTfQhf-JLGbk_8e0Ah","2012 X Taipei Tango Festival","","Javier Artiles","UCyoRztAV0OO84KHCV0DOZlQ","9",TRUE,,,"2021-01-25 22:07:13.821986","2021-01-25 22:38:48.008206"
127,"PLeJKYo0JJzp2DPzDoV47cRGqTY9Vbklph","[ Tango ] Korean Dancers","","김진호","UCIpTAPNzIW7dq73EmZTk2sw","19",TRUE,,,"2021-01-25 22:07:13.831425","2021-01-25 22:31:24.42508"
128,"PLVydU0dL2_kdAeqmyTWytiR4LLVEU3Kni","3rd Edition Tango Maya Fest 2014","3rd Edition Tango Maya Fest 2014","Luciano Brigante","UC872F9ffo1_Z3yke4y9Kasg","18",TRUE,,,"2021-01-25 22:07:13.849644","2021-01-25 22:38:48.889668"
129,"PL4ljYdTBsKJFsBGx-kGo8xOnfLM5IUheg","Tango Safari 2017","Shows of the stars of ""Tango Safari"". Brühl Palace, Brody, 26-29th of July 2017.","TangoNuevo TV","UCUKptFgKHVYM1GoQvgeDU_A","12",TRUE,,,"2021-01-25 22:07:13.859464","2021-01-25 22:38:51.085296"
130,"PL2CFA5E8D70AF1D2B","All tango dances","all of the videos","Nina Titova","UCAs5eZRzP--lioosVNtghnA","11",TRUE,,,"2021-01-25 22:07:13.871866","2021-01-25 22:31:26.608953"
131,"PLC1B9B54E9AF6DA85","Tango: Dancer Damian Lobato","Damian Lobato is a great Tango dancer, especially with the partner Jennifor Olson.","Flemming Midtgaard","UCFl3uT-vdP8uKdFOp5XeTxA","8",TRUE,,,"2021-01-25 22:07:13.889887","2021-01-25 22:31:27.909172"
132,"PL8240072E2E47E61E","TANGO Damian Esell y Nancy Louzan","","Tango Belgrade _Andrija","UCXj6nBgN1a5L3aRZMXZY1LA","8",TRUE,,,"2021-01-25 22:07:13.902646","2021-01-25 22:38:52.488761"
133,"PLhakrVxhNCYw1CaiRyXs3wlwU_CIu3kfD","Tango","","Paolo Carioti","UCPiZCxzCKsjssAT_RUTXmAQ","13",TRUE,,,"2021-01-25 22:07:13.909877","2021-01-25 22:31:28.83916"
134,"PL845A176BCE42FF92","Air de Tango","Videos of Mylène Pelletier of Air de Tango","Mylene Pelletier","UCVkAFQ5yUMNUXr45xVr_avQ","32",TRUE,,,"2021-01-25 22:07:13.916721","2021-01-25 22:38:53.536648"
135,"PLZmDgeR-Mbp17atiliZy3NLBDpQF3mDOo","Tango Performances","","radioheadalways","UCOaVz91leYeI1Rpikqnp6tw","10",TRUE,,,"2021-01-25 22:07:13.925397","2021-01-25 22:31:30.327586"
136,"PLnUYmTx2be9lzHo-UUEmCUDhu7Tu5F6uB","They Tango • 21 to 30 •","","ReD Tango Production","UCUMU1LGih56Mo3X8hV_ELdQ","9",TRUE,,,"2021-01-25 22:07:13.93333","2021-01-25 22:38:57.318992"
137,"PLZj_Xxxg0RkuUby6JCzov-AIrp7QGT9eV","Randomly mixed dancers","","TC Tango","UCPSEBKNWfeUQR22qpdYAIgg","22",TRUE,,,"2021-01-25 22:07:13.942339","2021-01-25 22:31:31.474332"
138,"PLQFT_zhDL8lgIiIPGBk1x7eXEzRV6yZ_B","Tango Milonga","","Nina Velikova","UCOM3AMT246E5tTg9T8KNSPg","8",TRUE,,,"2021-01-25 22:07:13.955649","2021-01-25 22:31:34.2333"
139,"PLiVnqeNUySFnl0PF7BO9V_W3KaL3b9cWK","Tangosafari Brody 2016","","TangoSafari Berlin","UC3ClJ7P25e5TCSxkE2PfliQ","10",TRUE,,,"2021-01-25 22:07:13.967071","2021-01-25 22:38:58.432047"
140,"PLycCYZzHScC9Vvs0iXAyvE9nBkpB0_Mrd","p - Favourite Tango Performances","","MsYulia2702","UCluhr09E0HWCrDQ-R4mvuDQ","18",TRUE,,,"2021-01-25 22:07:13.976924","2021-01-25 22:31:35.438247"
