Genre,Title,Artist
Tango,Broche de oro,Francisco Canaro
Tango,Buen amigo,Francisco Canaro
Tango,Buena monta,Francisco Canaro
Tango,Buena suerte,"Canaro, Francisco"
Tango,Buenos Aires,"Canaro, Francisco"
Tango,Buenos Aires querido,"Canaro, Francisco"
Tango,Bulincito de estudiante,"Canaro, Francisco"
Tango,Burrero,"Canaro, Francisco"
Milonga,Ca-Ran-Can-Fu,Francisco Canaro
Tango,Caballo de oro,Francisco Canaro
Tango,Cabayito,Francisco Canaro
Tango,Cacareando,Francisco Canaro
Tango,Cada vez que me recuerdes,Francisco Canaro
Tango,Cadena de amor,Francisco Canaro
Tango,Cafe de los Angelitos,Francisco Canaro
Tango,Cafe para dos,Francisco Canaro
Tango,Calandria,Francisco Canaro
Tango,Calavera viejo,Francisco Canaro
Tango,Callecita de mi barrio,Francisco Canaro
Tango,Callecita de mi novia,Francisco Canaro
Tango,Cambalache,Francisco Canaro
Tango,Caminito,Francisco Canaro
Tango,Caminito al taller,Francisco Canaro
Tango,Campanas de bronce,"Canaro, Francisco"
Tango,Campo,"Canaro, Francisco"
Tango,Canaro,"Canaro, Francisco"
Tango,Canaro en cordoba,"Canaro, Francisco"
Tango,Canaro en japon,"Canaro, Francisco"
Tango,Canaro en Paris,Francisco Canaro
Tango,Cancion desesperada,Francisco Canaro
