DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
5/8/47,Alfredo DE ANGELIS,Con la otra,Carlos Dante,TANGO,Lito Bayardo,Lito Bayardo,ANGELIS,,,,
5/8/47,Alfredo DE ANGELIS,Sigan tomando muchachos,Julio Martel,TANGO,Antonio Bonavena,Rodolfo Scafidi,ANGELIS,,,,
6/6/47,Alfredo DE ANGELIS,La novia ausente,Julio Martel,TANGO,Guillermo Barbieri,Enrique Cadícamo,ANGELIS,,,,
6/6/47,Alfredo DE ANGELIS,Lunes (Lunes trece),Carlos Dante,TANGO,José Luis Padula,Francisco García Jiménez,ANGELIS,,,,
7/3/47,Alfredo DE ANGELIS,Cien guitarras,Carlos Dante y Julio Martel,MILONGA,Arturo Gallucci,Raúl Hormaza,ANGELIS,,,,
7/3/47,Alfredo DE ANGELIS,Flores del alma,Carlos Dante y Julio Martel,VALS,Juan Larenza,Alfredo Lucero Palacios y Lito Bayardo,ANGELIS,,,,
8/20/47,Alfredo DE ANGELIS,Pinche,,TANGO,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,ANGELIS,,,,
8/20/47,Alfredo DE ANGELIS,Sentencia,Carlos Dante,TANGO,Pedro Maffia,Celedonio Flores,ANGELIS,,,,
10/21/47,Alfredo DE ANGELIS,A Magaldi,Carlos Dante y Julio Martel,VALS,Carlos Dante y Pedro Noda,Juan Tiggi,ANGELIS,,,,
10/21/47,Alfredo DE ANGELIS,Esta vuelta pago yo,Carlos Dante,TANGO,Miguel Bonano,José De Grassi,ANGELIS,,,,
12/23/47,Alfredo DE ANGELIS,Fruto dulce,Carlos Dante y Julio Martel,TANGO,Horacio Susena,Horacio Susena,ANGELIS,,,,
12/23/47,Alfredo DE ANGELIS,Por quererte te perdi,Julio Martel,TANGO,Antonio Cascini,Marvil,ANGELIS,,,,
4/16/48,Alfredo DE ANGELIS,Pa' qué te voy a contar,Julio Martel,MILONGA,Domingo Sciaraffía,Domingo Sciaraffía,ANGELIS,,,,
4/16/48,Alfredo DE ANGELIS,Pastora,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
4/20/48,Alfredo DE ANGELIS,Bajo Belgrano,Julio Martel,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,,,,
6/11/48,Alfredo DE ANGELIS,Cristal y luna,Carlos Dante,TANGO,Pedro Blasco,Guillermo Vilar,ANGELIS,,,,
6/11/48,Alfredo DE ANGELIS,Seleccion de tangos (de Discépolo),Carlos Dante y Julio Martel,TANGO,?,?,ANGELIS,,,,
7/23/48,Alfredo DE ANGELIS,No te perdono mas,Julio Martel,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,ANGELIS,,,,
7/23/48,Alfredo DE ANGELIS,Para ti madre,Carlos Dante,VALS,José Mocciola,Venancio Clauso,ANGELIS,,,,
9/21/48,Alfredo DE ANGELIS,El huracán,,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López,ANGELIS,,,,
12/17/48,Alfredo DE ANGELIS,Cuatro líneas para el cielo,Carlos Dante,TANGO,Arturo Gallucci,Reinaldo Yiso,ANGELIS,,,,
12/17/48,Alfredo DE ANGELIS,Una carta,Julio Martel,TANGO,Miguel Bucino,Miguel Bucino,ANGELIS,,,,
4/20/49,Alfredo DE ANGELIS,Mocosita,Carlos Dante,TANGO,Gerardo Matos Rodríguez,Víctor Soliño,ANGELIS,,,,
5/12/49,Alfredo DE ANGELIS,Mi cariñito,Carlos Dante y Julio Martel,VALS,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
5/15/49,Alfredo DE ANGELIS,Esta noche me despido,Carlos Dante,TANGO,Carlos Dante,José Rótulo,ANGELIS,,,,
6/2/49,Alfredo DE ANGELIS,Alla en el bajo,Carlos Dante,TANGO,Agustín Magaldi y Pedro Noda,Ismael Aguilar y Gerónimo Martinelli Massa,ANGELIS,,,,
6/2/49,Alfredo DE ANGELIS,El ciruja,Julio Martel,TANGO,Ernesto de la Cruz,Alfredo Marino,ANGELIS,,,,
8/16/49,Alfredo DE ANGELIS,Atenti pebeta,Julio Martel,TANGO,Ciriaco Ortiz,Celedonio Flores,ANGELIS,,,,
